Episode,Name,Speaker,Quote
S04E03,The Pitch,George,"See, this should be a show. This is the show."
S04E03,The Pitch,George,It's about nothing.
S04E03,The Pitch,George,"Everybody's doing something, we'll do nothing."
S04E03,The Pitch,Jerry,"They say, 'What's your show about?' I say, 'Nothing.'"
S04E03,The Pitch,George,I think I can sum up the show for you with one word: NOTHING.
S04E03,The Pitch,Jerry,"Oh, gee, I can't talk right now. Why don't you give me your home number and I'll call you later."
S04E04,The Ticket,Kramer,Yo-yo Ma!
S04E04,The Ticket,Jerry,Uncle Leo!
S04E04,The Ticket,Newman,Crazy Joe Davola?
S04E05,The Wallet (1),Jerry,What do you expect? It's airline food.
S04E07,The Bubble Boy,George,"Oh, Noooo, I'm so sorry. It's the MOOPS. The correct answer is, The MOOPS."
S04E07,The Bubble Boy,Donald,"MOOPS? LET ME SEE THAT. THAT'S NOT MOOPS YOU JERK, IT'S MOORS. IT'S A MISPRINT."
S04E07,The Bubble Boy,George,I'm sorry the card says MOOPS.
S04E07,The Bubble Boy,George,It's MOOPS.
S04E07,The Bubble Boy,George,"MOOPS, MOOPS"
S04E08,The Cheever Letters,Jerry,"Okay? So, she's taking about her panties, so, uh.. So, I said, 'You mean the panties your mother laid out for you?'"
S04E08,The Cheever Letters,Rickey,"John Cheever?! Dad, you and John Cheever?!"
S04E09,The Opera,Jerry,"I-I-I don't like the opera. What are they singing for? Who sings? You got something to say, say it!"
S04E09,The Opera,Elaine,"You know, it is so sad, all your knowledge of high culture comes from bugs bunny cartoons."
S04E11,The Contest,George,Care to make it interesting?
S04E11,The Contest,Kramer,"Hey, look at this, c'mere. There's a naked woman across the street."
S04E11,The Contest,Kramer,"Yeah, I'm out - I'm out of the contest."
S04E11,The Contest,Elaine,"Well, that was fast!"
S04E11,The Contest,Kramer,"So, you're still master of your domain."
S04E12,The Airport,Jerry,"Hey, could you do me a favour? [pause] Could you shut-up?"
S04E13,The Pick,Jerry,Because I'm not sure and and and correct me if I'm wrong but I think I see ... a nipple.
S04E13,The Pick,Elaine,"That's my nipple. My nipple's exposed. I sent this card to hundreds of people! My parents. My boss. Uh, Nana and Papa."
S04E13,The Pick,Kramer,That's a nipple.
S04E13,The Pick,Jerry,What? So what? It's a nipple. A little round circular protuberance. What's the big deal? See everybody's got them. See I got them.
S04E13,The Pick,George,Was it a scratch or a pick?
S04E13,The Pick,Jerry,Is that so unforgivable? Is that like breaking a commandment? Did God say to Moses thou shalt not pick?
S04E13,The Pick,Elaine,You want a Christmas card? You want a Christmas card? All right here. [rubs George's head on her breasts] Here's your Christmas card.
S04E13,The Pick,George,Your buttocks are spectacular.
S04E15,The Visa,Kramer,I punched Mickey Mantle in the mouth.
S04E15,The Visa,Babu,No Babu! No Babu! You bad man! You very bad man! You very lazy bad man!
S04E16,The Shoes,Russell,"Get a good look, Costanza?"
S04E16,The Shoes,Jerry,"Looking at cleavage is like looking at the sun, you don't stare at it. It's too risky. You get a sense of it and then you look away."
S04E17,The Outing,Elaine,"Hey, who do you think is the most unattractive world leader?"
S04E17,The Outing,Elaine,I got news for you. Golda Meir could make 'em all run up a tree.
S04E17,The Outing,Jerry,"Oh yeah, what? 'Buck Naked'?"
S04E17,The Outing,George,"Now she thinks we're gay, not that there's anything wrong with it..."
S04E17,The Outing,Jerry,Not that there's anything wrong with that...
S04E17,The Outing,George,Yeah. I'm Buck Naked.
S04E17,The Outing,Kramer,Not that there's anything wrong with that...
S04E18,The Old Man,Jerry,"Hello, *Newman*..."
S04E19,The Implant,Elaine,"You know, sometimes when I think you're the shallowest man I've ever met, you somehow manage to drain a little more out of the pool."
S04E19,The Implant,Timmy,Did...did you just double-dip that chip?
S04E19,The Implant,Timmy,You double-dipped the chip!
S04E20,The Junior Mint,Jerry,I... don't... know...
S04E20,The Junior Mint,Jerry,Look at that. Why do I get bananas? They're good for *one* day...
S04E20,The Junior Mint,Elaine,*Get* *out*!
S04E20,The Junior Mint,Woman,Are you kidding? They were merciless! What do you expect when your name rhymes with a part of the female anatomy?
S04E20,The Junior Mint,Kramer,Junior Mints. Do you want one?
S04E20,The Junior Mint,Jerry,Because it's a little mint. It's a *Junior* Mint.
S04E20,The Junior Mint,Elaine,Prognosis... negative.
S04E20,The Junior Mint,Jerry,Oh! Oh! *Delores*!
S04E21,The Smelly Car,Elaine,"Do I smell something? What am I, hard of smelling? Of *course* I smell something."
S04E21,The Smelly Car,Jerry,"So when somebody has B.O., the 'O' usually stays with the 'B'. Once the 'B' leaves, the 'O' goes with it."
S04E21,The Smelly Car,Clerk,"Ah, ``Rochelle, Rochelle''... 'A young girl's strange, erotic journey from Milan to Minsk'..."
S04E21,The Smelly Car,Jerry,"Well, sometimes we do actually have to get up early, but a man will *always* trade sleep for sex."
S04E21,The Smelly Car,Elaine,Is it possible I'm not as attractive as I think I am?
S04E21,The Smelly Car,Jerry,"Suicide, maybe, not lesbianism."
S04E21,The Smelly Car,George,"Oh, this isn't even B.O.! This is *beyond* B.O.! It's *B*.B.O.!"
S04E21,The Smelly Car,Jerry,"There should be a B.O. squad that patrols the city like a 'Smell Gestapo'. To sniff 'em out, strip 'em down, and wash them with a big, soapy brush..."
S04E21,The Smelly Car,George,"Amazing. I drive them to lesbianism, he brings 'em back."
S04E22,The Handicap Spot,Jerry,You don't like the Drake?
S04E22,The Handicap Spot,George,Hate the Drake.
S04E22,The Handicap Spot,Elaine,I *love* the Drake.
S04E22,The Handicap Spot,Jerry,How could you not like the Drake?
S04E22,The Handicap Spot,George,Who's the Drake?
S04E22,The Handicap Spot,Jerry,The Drake is good!
S04E22,The Handicap Spot,Elaine,Got to *love* the Drake!
S04E22,The Handicap Spot,George,Screw the Drake!
S04E22,The Handicap Spot,Jerry,I love the Drake!
S04E22,The Handicap Spot,Jerry,The Drake is great!
S04E22,The Handicap Spot,Elaine,"Boy, I am really starting to dislike the Drake!"
S04E22,The Handicap Spot,Jerry,"Hey, guess what? The Drake broke up."
S04E22,The Handicap Spot,George,I agreed to become his butler.
S04E23,The Pilot (1),Director,I'm Vandelay Industries?
S04E23,The Pilot (1),George,What happened to the raisins?
S04E24,The Pilot (2),Jerry,It's made up. Haagen-Dazs is made up. It's not Danish.
S05E01,The Mango,George,"I'm back, baby, I'm back!"
S05E02,The Puffy Shirt,Elaine,"Oh, a puffy shirt."
S05E02,The Puffy Shirt,Man,Yes. he was not.. master of his domain.
S05E05,The Bris,Kramer,"Oh! God, It's a Pig man! A pig man!"
S05E06,The Lip Reader,Gwen,"It's not you, it's me."
S05E06,The Lip Reader,George,"You're giving me the 'it's not you, it's me' routine? I invented 'it's not you, it's me'. Nobody tells me it's them not me, if it's anybody it's me."
S05E08,The Barber,Newman,It's Newman.
S05E09,The Masseuse,George,Yes! Yes! Everybody has to like me. I must be liked!
S05E10,The Cigar Store Indian,Kramer,"Hey, hey, hey, hey. You know what would make a great coffee table book? A coffee table book about coffee tables! Get it?"
S05E11,The Conversion,Priest,Yes. Kavorka.
S05E11,The Conversion,Kramer,I've got the Kavorka Jerry.
S05E12,The Stall,Elaine,"Oh, I can't believe this. What a dope! uh..excuse me umm.. I'm sorry this is.. this is kind of embarrassing but.. there's no toilet paper over here"
S05E12,The Stall,Jane,"No I'm sorry, I can't spare it"
S05E12,The Stall,Jane,"I'm sorry I don't have a square to spare, now if you don't mind"
S05E12,The Stall,Jane,"no I don't have a square to spare, I can't spare a square"
S05E12,The Stall,Jerry,"Elaine, he's a.. he's a male bimbo, he's a mimbo"
S05E12,The Stall,Kramer,Am I? Or am I so sane that you just blew your mind?
S05E12,The Stall,Elaine,"I can't, I don't have it, I don't have a square to spare, I can't spare a square"
S05E13,The Dinner Party,Jerry,Hmm. Look to the cookie Elaine... Look to the cookie.
S05E14,The Marine Biologist,Voice,Is anyone here a marine biologist?
S05E14,The Marine Biologist,George,The sea was angry that day my friends... like an old man trying to send back soup in a deli!
S05E14,The Marine Biologist,Kramer,What is that a Titleist?
S05E15,The Pie,Jerry,"Well, Poppie's a little sloppy."
S05E16,The Stand-In,Jerry,If I was a woman I'd be down at the dock waiting for the fleet to come in.
S05E16,The Stand-In,Elaine,He took it out.
S05E16,The Stand-In,Jerry,"He took It, Out?"
S05E17,The Wife,George,It's all pipes! What's the difference?!
S05E18,The Raincoats,Jerry,"He's nice, bit of a close talker."
S05E18,The Raincoats,Elaine,During Schindler's List?
S05E20,The Fire,Kramer,"Hey, how about if the book came with these little fold-out legs...so the book itself becomes a coffee table?"
S05E20,The Fire,Jerry,"Oh, that's gold, baby."
S05E20,The Fire,George,"Who's Bozo? Bozo the Clown, that's who Bozo is. When I was a kid, Bozo the Clown was the clown, bar none."
S05E20,The Fire,Jerry,"Yes, yeah...see, men don't care what's on TV, men only care what else is on TV."
S05E20,The Fire,George,You've never heard of Bozo the Clown?
S05E20,The Fire,George,Yeah. Eric the Clown put it out with his big shoe.
S05E20,The Fire,George,You know what you oughta do. You should go to her office and heckle her.
S05E21,The Hamptons,Jerry,Is it me or was that the ugliest baby you have ever seen?
S05E21,The Hamptons,Jerry,It's a must lie situation.
S05E21,The Hamptons,George,"Yeah. I love Hampton tomatoes. You know, you can eat 'em like apples. You know it's funny, the tomato never really took on as a hand fruit."
S05E21,The Hamptons,Jerry,Oh... You mean... shrinkage.
S05E21,The Hamptons,George,"They're worse! They're much worse than us, they talk about everything! Couldn't you at least tell her about the shrinkage factor?"
S05E21,The Hamptons,Jerry,Like a frightened turtle!
S05E21,The Hamptons,Elaine,I don't know how you guys walk around with those things.
S05E22,The Opposite,George,"Elaine, bald men, with no jobs, and no money, who live with their parents, don't approach strange women."
S05E22,The Opposite,Jerry,"If every instinct you have is wrong, then the opposite would have to be right."
S05E22,The Opposite,George,My name is George. I'm unemployed and I live with my parents.
S05E22,The Opposite,Kramer,You know who you are? Even Steven
S05E22,The Opposite,Jake,"So you heard that I was in a car accident, and then decided to stop off for some Jujyfruit?"
S05E22,The Opposite,Kramer,"You see the beauty of my book is, if you don't have a coffee table, it turns into a coffee table."
S05E22,The Opposite,George,Alrighty. Ah ... my last job was in publishing ... I uh got fired for having sex in my office with the cleaning woman.
S05E22,The Opposite,Jerry,"I'll tell you what the big advantage of homosexuality is. If you're going out with someone your size, right there you double your wardrobe."
S05E22,The Opposite,Jerry,"Ruth, Gehrig, DiMaggio, Mantle ... Costanza?"
S05E22,The Opposite,George,"I'm back in business, baby!"
S06E02,The Big Salad,Kramer,A rule is a rule. And let's face it. Without rules there's chaos.
S06E02,The Big Salad,Jerry,. . . YOU went out with . . . Newman?
S06E02,The Big Salad,Jerry,"You liked, Newman?"
S06E02,The Big Salad,Jerry,. . . HE ended it?
S06E02,The Big Salad,Jerry,Newman! She went out with Newman!
S06E02,The Big Salad,Jerry,"No, there's less."
S06E02,The Big Salad,Jerry,No it isn't. I've looked into his eyes. He's pure evil.
S06E02,The Big Salad,Jerry,"Yeah, he's a mystery wrapped in a Twinkie."
S06E02,The Big Salad,Jerry,All I could think of was when I was looking at her face was; Newman found this unacceptable.
S06E02,The Big Salad,George,"You know, if it was a regular salad I wouldn't have said anything. But you had to have the BIG SALAD."
S06E03,The Pledge Drive,Elaine,"So, yeah, that's funny. Hey, you wanna hear something weird? Mr. Pitt eats his Snickers bars with a knife and fork."
S06E04,The Chinese Woman,Elaine,That man he's with: is he wearing a cape?
S06E04,The Chinese Woman,Jerry,I believe he is wearing a cape.
S06E04,The Chinese Woman,Elaine,"Well, he was with someone. A man... In a cape."
S06E04,The Chinese Woman,George,All right Superman's the exception.
S06E04,The Chinese Woman,Kramer,"Oh, it be so. I'm out there, Jerry, an' I'm lllovin' every minute of it!!!"
S06E05,The Couch,Jerry,"Well, what is it then?! My new sofa! Poppie peed on my new sofa!"
S06E06,The Gymnast,Kramer,"A gymnast, Jerry. Think of the flexibility. Mmm, that sex'll melt your face."
S06E06,The Gymnast,Jerry,"Adjacent to refuse, is refuse."
S06E06,The Gymnast,Jerry,"Well, that's garbage."
S06E06,The Gymnast,Jerry,"Well, you, my friend, have crossed the line that divides Man and Bum. You are now a Bum."
S06E06,The Gymnast,Kramer,"Jerry, you stand on the threshold to the magical world of sensual delights that most men dare not dream of!"
S06E07,The Soup,Jerry,"Yeah, that's a deal. That's a terrible deal. I don't want to go out to dinner with him. I'd rather make my own suit."
S06E07,The Soup,George,"What is that, Boyfriend? I don't understand that. What, what does she think I asked her out for?"
S06E07,The Soup,Jerry,"No, no, Bania, no. This is the dinner. The soup counts."
S06E07,The Soup,Bania,Soup's not a meal. You're supposed to buy me a meal.
S06E07,The Soup,Jerry,This is the meal ... so stock up buddy boy.
S06E07,The Soup,Jerry,Yes it is. Soup and sandwich. That is a meal.
S06E07,The Soup,Elaine,There's no 'Big Salad.'
S06E07,The Soup,Elaine,How 'bout a Big Salad?
S06E07,The Soup,Hilde,A big salad?
S06E08,The Mom &amp; Pop Store,Salesman,"It's got a few more miles on it, but the previous owner was John Voight."
S06E08,The Mom &amp; Pop Store,George,Jon Voight?
S06E08,The Mom &amp; Pop Store,Elaine,Jon Voight? The actor?
S06E08,The Mom &amp; Pop Store,George,Jon Voight bit you?
S06E09,The Secretary,Ade,Mr. CO STAN ZA!
S06E09,The Secretary,Kramer,"Bania, you're killing me."
S06E10,The Race,Jerry,"Well, I'd have to be Superman to do that Lois."
S06E10,The Race,George,Maybe he's just 'very well RED'?
S06E10,The Race,Jerry,"Hello, oh hi Duncan, 4:00 o'clock tomorrow? That is not going to work. . . . Why? I'll tell you why. Because I chose not to run!"
S06E11,The Switch,George,Do you ever just get down on your knees and thank god that you know me and have access to my dementia?
S06E11,The Switch,Jerry,I can't. I'm not an orgy guy.
S06E11,The Switch,George,Are you crazy? This is like discovering Plutonium ... by accident.
S06E12,The Label Maker,Elaine,I think this is the same one I gave him. He recycled this gift. He's a regifter!
S06E12,The Label Maker,George,"A fan? I would drape myself in velvet if it were socially acceptable. And look at this, hardwood floors!"
S06E12,The Label Maker,George,"Well, if he can regift, why can't you degift?"
S06E12,The Label Maker,Jerry,Who goes *anywhere* with Newman?!
S06E12,The Label Maker,Ukrainian,I come from Ukraine. You not say Ukraine weak.
S06E12,The Label Maker,Ukrainian,Ukraine is game to you?! Howbout I take your little board and smash it!!
S06E12,The Label Maker,Elaine,I knew it! You're a regifter!
S06E13,The Scofflaw,Kramer,I wanna be a pirate.
S06E16,The Beard,George,How so? I'll tell you how so. She's bald!
S06E16,The Beard,George,Let me tell you something. No one walks into a beauty parlor and says 'Give me the Larry Fine.'
S06E16,The Beard,George,"Jerry, just remember. It's not a lie... if you believe it."
S06E19,The Jimmy,George,'George likes spicy chicken.'
S06E19,The Jimmy,George,'George is getting upset..'
S06E20,The Doodle,Kramer,"Well it's a story about love, deception, greed, lust and...unbridled enthusiasm."
S06E20,The Doodle,Kramer,"Well , that's what led to Billy Mumphrey's downfall."
S06E21,The Fusilli Jerry,Estelle,"Well, I'm out there, George."
S06E21,The Fusilli Jerry,George,"Well, giddy-up!"
S06E21,The Fusilli Jerry,Kramer,No! I'm not the Assman.
S06E21,The Fusilli Jerry,Kramer,*Fusilli* Jerry! It's made from Fusilli pasta. See the microphone?
S06E21,The Fusilli Jerry,Kramer,"Yeah. Assman, Jerry. I'm Cosmo Kramer, the Assman!"
S06E21,The Fusilli Jerry,Jerry,"Hey, Assman!"
S06E21,The Fusilli Jerry,Frank,He stopped short? That's my move. I'm gonna kill him!
S06E21,The Fusilli Jerry,Frank,Don't Frank me! I know what you did. How dare you stop short with my wife!
S06E21,The Fusilli Jerry,Frank,"You think I don't know, Assman?!! To think I almost split the profits on the Manssierre with you."
S06E21,The Fusilli Jerry,Kramer,So...you're the Assman.
S06E21,The Fusilli Jerry,Frank,"It was a million to one shot, Doc. Million to one."
S06E23,The Face Painter,Siena,That's true. There really has been no development in toilet paper.
S06E23,The Face Painter,Jerry,Well what about these nitwits that get on a plane with nothing to read? You know who these people are?
S06E23,The Face Painter,Jerry,They're the worst.
S06E23,The Face Painter,Jerry,"Well, that's a big move, Georgie boy. Are you confident in the 'I love you' return?"
S06E23,The Face Painter,Jerry,"Cause if you don't get that return, that's a pretty big matzoh ball hanging out there."
S06E23,The Face Painter,George,"Once, to a dog. He licked himself and left the room."
S06E23,The Face Painter,Jerry,Big matzoh ball.
S06E23,The Face Painter,Jerry,"Kramer, you threw a banana peel at a monkey?"
S07E01,The Engagement,Jerry,How come you're eating your peas one at a time?
S07E01,The Engagement,Jerry,Pinkish hue?
S07E01,The Engagement,Kramer,"Oh, no. I don't wear a watch."
S07E06,The Soup Nazi,Jerry,"You can't eat this soup standing up, your knees buckle."
S07E06,The Soup Nazi,Bania,"This guy makes the best soup in the city, Jerry. The best. You know what they call him? Soup Nazi."
S07E06,The Soup Nazi,Nazi,No soup for you! [snaps fingers]
S07E06,The Soup Nazi,Nazi,You're pushing your luck little man.
S07E06,The Soup Nazi,Nazi,No soup for you!
S07E06,The Soup Nazi,Nazi,"Hey, what is this? You're kissing in my line? Nobody kisses in my line!"
S07E06,The Soup Nazi,Elaine,"So, essentially, you chose soup over a woman?"
S07E06,The Soup Nazi,Kramer,I'll tell ya where I got it. I got it from the guy you so callously refer to as the Soup Nazi.
S07E06,The Soup Nazi,Jerry,"Elaine, let the man make his soup!"
S07E06,The Soup Nazi,Nazi,You. You think you can get soup? Please. You're wasting everyone's time.
S07E06,The Soup Nazi,Elaine,You're through Soup Nazi. Pack it up. No more soup for you. Next!
S07E07,The Secret Code,George,We're out of Bosco!
S07E07,The Secret Code,Peterman,Bosco. Bosco.
S07E07,The Secret Code,George,Get out of here.
S07E07,The Secret Code,Kramer,"Oh you may stray, but you'll always return to your dark master, the cocoa bean."
S07E07,The Secret Code,George,"The Rogue's Wallet. That's where he kept his card, his dirty little secret. Short, devious, balding. his name was Costanza. He killed my mother."
S07E08,The Pool Guy,Kramer,"Oh, no, of course you don't. You're a Man's Woman. You hate other women, and they hate you."
S07E08,The Pool Guy,George,This is not good. World's are colliding! George is getting upset!
S07E08,The Pool Guy,George,"You're Killing Independent George! You know that, don't you?"
S07E08,The Pool Guy,Kramer,"Hewwo and welcome to Movie phone. If you know the name of the movie you'd like to see, press one."
S07E08,The Pool Guy,Kramer,Why don't you just tell me the name of the movie you've selected.
S07E09,The Sponge,Elaine,"Yeah, it was, but then I just couldn't decide if he was really sponge-worthy."
S07E09,The Sponge,Organizer,But everyone wears the ribbon. You must wear the ribbon!
S07E09,The Sponge,Kramer,"Yeah, I'm against AIDS. I mean, I'm walking, aren't I? I just don't wear the ribbon."
S07E09,The Sponge,Elaine,"So, you think you're sponge-worthy?"
S07E09,The Sponge,Kramer,This is America! I don't have to wear anything I don't want to wear!
S07E09,The Sponge,Jerry,She said I wasn't sponge-worthy. Wouldn't waste a sponge on me!
S07E11,The Rye,Frank,"Let me understand, you got the hen, the chicken and the rooster. The rooster goes with the chicken. So, who's having sex with the hen?"
S07E11,The Rye,Frank,That's perverse.
S07E11,The Rye,Frank,And who doesn't serve cake after a meal? What kind of people? Would it kill them to put out a pound cake? Something!
S07E11,The Rye,Jerry,"Shut up, you old bag!"
S07E11,The Rye,Kramer,The horse is gassy. Must have been the Beef-A-Reeno.
S07E12,The Caddy,George,How? Cause I'm an Idiot.
S07E12,The Caddy,Jerry,That's a hell of an organization they're running up there. I can't understand why they haven't won a pennant in 15 years.
S07E12,The Caddy,Jerry,Locking your keys in your car is the best career move you ever made.
S07E12,The Caddy,Jerry,She's your Lex Luthor!
S07E12,The Caddy,Jerry,Have I ever bought you a jock strap as a gift?
S07E12,The Caddy,Jackie,"So we got an attractive woman, wearing a bra, no top, walkin' around in broad daylight. She's flouting society's conventions!"
S07E12,The Caddy,Jackie,"That's totally inappropriate. It's lewd, lascivious, salacious, outrageous!"
S07E12,The Caddy,Estelle,Are you sure you're talking about George?
S07E12,The Caddy,Frank,"Jerry, it's Frank Costanza, Mr. Steinbrenner's here, George is dead, call me back!"
S07E13,The Seven,George,"Pamela?! Awright, I tell you what. You look like nice people, I'm gonna help you out. You want a beautiful name? Soda."
S07E13,The Seven,George,"No, Seven."
S07E13,The Seven,Susan,Seven Costanza? You're serious?
S07E13,The Seven,Ken,"George, you're not getting Seven! Now get outta here!!"
S07E13,The Seven,George,I'm family. I'm having sex with the cousin!
S07E14,The Cadillac (1),Jerry,"Oh, I'm back, baby."
S07E14,The Cadillac (1),Kramer,"Oh, was he? Was he? I guess the cable man doesn't like to be kept waiting."
S07E15,The Cadillac (2),George,He's an importer-exporter.
S07E16,The Shower Head,Jerry,"I'm used to a 1200 mile buffer zone. I can't handle this. Plus I got the dinners, I got the pop ins. They pop in! It's brutal!"
S07E16,The Shower Head,Peterman,"I'm afraid I have some bad news, Elaine. It appears you will not be accompanying me to Africa."
S07E16,The Shower Head,Peterman,"I'm afraid it's your urine, Elaine. You tested positive for opium."
S07E16,The Shower Head,Peterman,"That's right, Elaine. White lotus. Yam-yam. Shanghai Sally."
S07E16,The Shower Head,Peterman,"Not a chance. I'm afraid I'll just have to find someone else to accompany me on my journey. The dark continent is no place for an addict, Elaine."
S07E16,The Shower Head,Kramer,If I don't have a good shower I am not myself. I feel weak and ineffectual. I'm not Kramer.
S07E16,The Shower Head,Newman,This stuff is awful! I'm not Newman!
S07E16,The Shower Head,Frank,Are you trying to keep us out of Del Boca Vista?!
S07E16,The Shower Head,Kramer,It's disgusting. I'm sitting there in a tepid pool of my own filth. All kinds of microscopic parasites and organisms having sex all around me.
S07E16,The Shower Head,Elaine,"Well, this you're not gonna believe. I found out why I was testing positive for opium. Poppy seeds!"
S07E16,The Shower Head,Jerry,Poppy seeds!
S07E16,The Shower Head,George,So you're moving there for spite!
S07E16,The Shower Head,Frank,Absolutely. No one tells Frank Costanza what to do!
S07E16,The Shower Head,George,Can you believe it? It's happening! It's finally happening! I'm free!!
S07E16,The Shower Head,Morty,Low flow? I don't like the sound of that.
S07E17,The Doll,George,"I know it's a doll, but it looks like my mother!"
S07E19,The Wig Master,George,Well does it say anywhere in the contract about my car being used as a whorehouse? 'Cause I don't remember reading that clause either..
S07E19,The Wig Master,Jerry,........For spite...
S07E20,The Calzone,Elaine,He bet me Dustin Hoffman was in Star Wars.
S07E20,The Calzone,Jerry,Dustin Hoffman in Star Wars!?! Short Jewish guy against Darth Vader. I don't think so.
S07E20,The Calzone,Jerry,No. I never had a job.
S07E20,The Calzone,George,You don't work in the rain? Your a mailman.'Neither rain nor sleet nor snow.....'It's the first one.
S07E21,The Bottle Deposit (1),Jerry,"Sue Ellen Mishke, the braless 'O Henry' candy bar heiress."
S07E24,The Invitations,Doctor,Let me ask you ; Had she been exposed to any kind of inexpensive glue?
S07E24,The Invitations,Doctor,That's probably what did it.
